oftic,TICKER,CUSIP,CNAME,STATPERS,MEASURE,FPI,MEANEST,STDEV,FPEDATS,ACTUAL,ANNDATS_ACT
PEP,PEP,71344810,PEPSICO,2021-03-18,EPS,6,1.12,0.03,2021-03-31,1.21,2021-04-15
PEP,PEP,71344810,PEPSICO,2021-04-15,EPS,6,1.54,0.05,2021-06-30,1.72,2021-07-13
PEP,PEP,71344810,PEPSICO,2021-05-20,EPS,6,1.52,0.03,2021-06-30,1.72,2021-07-13
PEP,PEP,71344810,PEPSICO,2021-06-17,EPS,6,1.52,0.03,2021-06-30,1.72,2021-07-13
PEP,PEP,71344810,PEPSICO,2021-07-15,EPS,6,1.73,0.02,2021-09-30,1.79,2021-10-05
PEP,PEP,71344810,PEPSICO,2021-08-19,EPS,6,1.73,0.02,2021-09-30,1.79,2021-10-05
PEP,PEP,71344810,PEPSICO,2021-09-16,EPS,6,1.73,0.02,2021-09-30,1.79,2021-10-05
PEP,PEP,71344810,PEPSICO,2021-10-14,EPS,6,1.51,0.03,2021-12-31,1.53,2022-02-10
PEP,PEP,71344810,PEPSICO,2021-11-18,EPS,6,1.51,0.03,2021-12-31,1.53,2022-02-10
PEP,PEP,71344810,PEPSICO,2021-12-16,EPS,6,1.51,0.03,2021-12-31,1.53,2022-02-10
PEP,PEP,71344810,PEPSICO,2022-01-20,EPS,6,1.51,0.03,2021-12-31,1.53,2022-02-10
PEP,PEP,71344810,PEPSICO,2022-02-17,EPS,6,1.23,0.03,2022-03-31,1.29,2022-04-26
PEP,PEP,71344810,PEPSICO,2022-03-17,EPS,6,1.23,0.03,2022-03-31,1.29,2022-04-26
PEP,PEP,71344810,PEPSICO,2022-04-14,EPS,6,1.23,0.02,2022-03-31,1.29,2022-04-26
PEP,PEP,71344810,PEPSICO,2022-05-19,EPS,6,1.74,0.04,2022-06-30,1.86,2022-07-12
PEP,PEP,71344810,PEPSICO,2022-06-16,EPS,6,1.74,0.04,2022-06-30,1.86,2022-07-12
PEP,PEP,71344810,PEPSICO,2022-07-14,EPS,6,1.83,0.03,2022-09-30,1.97,2022-10-12
PEP,PEP,71344810,PEPSICO,2022-08-18,EPS,6,1.83,0.03,2022-09-30,1.97,2022-10-12
PEP,PEP,71344810,PEPSICO,2022-09-15,EPS,6,1.83,0.03,2022-09-30,1.97,2022-10-12
PEP,PEP,71344810,PEPSICO,2022-10-20,EPS,6,1.64,0.02,2022-12-31,1.67,2023-02-09
PEP,PEP,71344810,PEPSICO,2022-11-17,EPS,6,1.64,0.02,2022-12-31,1.67,2023-02-09
PEP,PEP,71344810,PEPSICO,2022-12-15,EPS,6,1.64,0.02,2022-12-31,1.67,2023-02-09
PEP,PEP,71344810,PEPSICO,2023-01-19,EPS,6,1.64,0.02,2022-12-31,1.67,2023-02-09
PEP,PEP,71344810,PEPSICO,2023-02-16,EPS,6,1.38,0.04,2023-03-31,1.5,2023-04-25
PEP,PEP,71344810,PEPSICO,2023-03-16,EPS,6,1.39,0.05,2023-03-31,1.5,2023-04-25
